#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14
openssl	3810133	2192724	57.5%	0.540	0.557	5.014	5.083	928.5%	0.200	0.214	0.340	0.387	170.0%
pkg-config	240634	186444	77.5%	0.033	0.034	0.186	0.188	563.6%	0.005	0.006	0.018	0.019	360.0%
sqlite	1415122	637384	45.0%	0.177	0.181	1.066	1.076	602.3%	0.019	0.019	0.053	0.054	278.9%
libpng	446951	293020	65.6%	0.060	0.062	0.437	0.444	728.3%	0.013	0.014	0.028	0.030	215.4%
node	12006319	8317292	69.3%	1.594	1.610	18.593	18.714	1166.4%	0.551	0.578	1.037	1.071	188.2%
readline	793661	419720	52.9%	0.108	0.111	0.726	0.735	672.2%	0.017	0.018	0.041	0.042	241.2%
freetype	826157	445812	54.0%	0.101	0.103	0.811	0.818	803.0%	0.018	0.019	0.044	0.046	244.4%
glib	6939005	3748500	54.0%	0.950	0.965	9.311	9.363	980.1%	0.137	0.141	0.343	0.352	250.4%
git	12240990	4159240	34.0%	1.507	1.519	12.560	12.616	833.4%	0.302	0.312	0.483	0.497	159.9%
python	12226733	8942484	73.1%	1.398	1.408	17.665	17.731	1263.6%	0.443	0.454	0.900	0.918	203.2%
pcre	1861532	776176	41.7%	0.270	0.276	2.065	2.094	764.8%	0.051	0.054	0.091	0.096	178.4%
fontconfig	1206603	913116	75.7%	0.118	0.120	1.123	1.136	951.7%	0.063	0.065	0.119	0.124	188.9%
gdbm	167915	125060	74.5%	0.027	0.029	0.177	0.182	655.6%	0.007	0.007	0.015	0.015	214.3%
gettext	8216213	6269580	76.3%	0.670	0.686	5.928	5.965	884.8%	0.265	0.275	0.517	0.530	195.1%
xz	460065	305908	66.5%	0.060	0.061	0.521	0.527	868.3%	0.018	0.018	0.034	0.035	188.9%
imagemagick	8884302	6768116	76.2%	0.802	0.809	7.743	7.811	965.5%	0.232	0.241	0.579	0.589	249.6%
libtiff	1071955	686188	64.0%	0.121	0.123	1.105	1.111	913.2%	0.039	0.041	0.077	0.078	197.4%
libyaml	103673	56768	54.8%	0.017	0.018	0.090	0.093	529.4%	0.004	0.005	0.007	0.008	175.0%
libtool	1032492	656460	63.6%	0.144	0.147	1.520	1.531	1055.6%	0.038	0.040	0.072	0.076	189.5%
cmake	10572381	4315652	40.8%	1.555	1.581	12.302	12.426	791.1%	0.341	0.362	0.567	0.596	166.3%
youtube-dl	1369267	1323764	96.7%	0.059	0.061	0.440	0.447	745.8%	0.011	0.012	0.080	0.082	727.3%
autoconf	892872	545692	61.1%	0.122	0.125	1.183	1.197	969.7%	0.021	0.023	0.050	0.052	238.1%
libksba	135467	114060	84.2%	0.022	0.023	0.129	0.133	586.4%	0.006	0.007	0.013	0.014	216.7%
jpeg	297688	165364	55.5%	0.040	0.042	0.222	0.227	555.0%	0.008	0.009	0.017	0.017	212.5%
python3	13857185	10116336	73.0%	1.617	1.629	21.365	21.409	1321.3%	0.469	0.481	0.970	0.986	206.8%
mysql	97365099	38906560	40.0%	12.338	12.454	109.692	110.396	889.1%	2.667	2.791	5.044	5.217	189.1%
wget	573053	453720	79.2%	0.080	0.083	0.977	1.321	1221.2%	0.016	0.017	0.056	0.058	350.0%
pango	1023151	626872	61.3%	0.229	0.234	2.915	4.068	1272.9%	0.043	0.045	0.101	0.104	234.9%
vim	8254253	5503492	66.7%	1.924	2.487	18.480	23.200	960.5%	0.391	0.453	0.905	1.169	231.5%
go	82104657	52857852	64.4%	11.735	11.771	120.178	120.798	1024.1%	1.574	1.628	4.708	4.854	299.1%
total	290395528	160829356	55.4%	38.418	39.309	374.524	382.840	974.9%	7.969	8.349	17.309	18.116	217.2%
